idx,dp_HPWL,time
0,5743987.0,14.137764930725098
1,889942.0,6.770654916763306
2,433015.0,6.6526947021484375
3,418617.0,6.416287660598755
4,2314700.0,8.12539267539978
5,2729568.0,8.96313190460205
6,2443980.0,9.164742946624756
7,2263193.0,9.724427700042725
8,5343509.0,12.69988465309143
9,3504810.0,11.25939655303955
10,4540219.0,12.199155330657959
11,2639614.0,12.380092144012451
12,8413919.0,18.10732650756836
13,1741466.0,9.90499496459961
14,1256340.0,7.074061870574951
15,641049.0,6.861881732940674
16,4317951.0,11.56958293914795
17,891277.0,6.48752498626709
18,2256209.0,6.8386266231536865
19,1269416.0,6.896566152572632
20,4787588.0,13.5609290599823
21,5644859.0,13.38578486442566
22,4766390.0,16.106698036193848
23,930315.0,7.183537483215332
24,2606544.0,9.305065870285034
25,469172.0,6.637637615203857
26,1528623.0,8.258716821670532
27,5502751.0,16.742615222930908
28,4820424.0,12.749253749847412
29,1022112.0,7.667476654052734
30,2182022.0,8.569534540176392
31,1258732.0,7.156270742416382
32,918855.0,6.737772226333618
33,1691861.0,9.77667784690857
34,556829.0,7.325173616409302
35,893111.0,7.873513460159302
36,3177501.0,9.380281686782837
37,285117.0,6.4540040493011475
38,1877431.0,9.76136565208435
39,2338008.0,9.952116012573242
40,4624196.0,13.56942081451416
41,1009047.0,7.463339567184448
42,1129606.0,7.617546081542969
43,2315554.0,8.362182140350342
44,1976074.0,9.296409368515015
45,5046452.0,12.76641845703125
46,3957597.0,11.535629034042358
47,749064.0,7.057953119277954
48,3461070.0,10.508833169937134
49,641445.0,7.046445369720459
50,1529524.0,8.588998079299927
51,436864.0,6.234533786773682
52,3499261.0,11.263615131378174
53,1200536.0,7.030492544174194
54,352650.0,6.768212080001831
55,2033551.0,8.731151103973389
56,1479871.0,8.731482982635498
57,1790615.0,7.994711399078369
58,1280350.0,8.512547254562378
59,4185528.0,13.7050142288208
60,3065639.0,10.837050676345825
61,1613618.0,8.40129804611206
62,1767555.0,9.598880529403687
63,798994.0,6.444183826446533
64,1865940.0,8.645975112915039
65,964288.0,7.43335747718811
66,4642128.0,12.39657974243164
67,2247591.0,8.626340389251709
68,3928622.0,13.150299072265625
69,714320.0,6.288632869720459
70,3284107.0,9.751203298568726
71,1197980.0,7.115700006484985
72,2121600.0,9.701257228851318
73,2505554.0,9.109785079956055
74,3239630.0,10.369391441345215
75,3269874.0,12.215335607528687
76,3140849.0,14.075404167175293
77,1295533.0,8.253864288330078
78,1483422.0,8.001405000686646
79,1878026.0,10.616263628005981
80,2621612.0,10.421286582946777
81,1748763.0,8.679825067520142
82,8494312.0,17.18852472305298
83,6395042.0,16.509237051010132
84,859873.0,7.376432180404663
85,4617551.0,14.366409301757812
86,2493249.0,10.896479606628418
87,850758.0,6.732749700546265
88,5297431.0,13.630131006240845
89,1024798.0,6.994659423828125
90,2513330.0,11.71834945678711
91,10910500.0,16.29621720314026
92,2811898.0,12.68831729888916
93,4775720.0,12.89727783203125
94,1338316.0,7.838109970092773
95,968758.0,7.833636283874512
96,2241355.0,10.686394691467285
97,3349599.0,13.75272274017334
98,1784212.0,7.858404636383057
99,3973509.0,10.787657976150513
100,2014125.0,8.183746337890625
101,2470378.0,9.122344255447388
